x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,clamp,qkv,0.3544574630667346,0.3522172497965826,1.5244034168580456
0.1,clamp,qkv,0.48751910341314314,0.47843775427176566,1.0949277754521136
0.2,clamp,qkv,0.7426388181355069,0.7481692432872253,0.6301659118469064
0.3,clamp,qkv,0.7535404992358635,0.7564076484947111,0.6003394535824608
0.4,clamp,qkv,0.7625063678043811,0.7580349877949553,0.5898900718855935
0.5,clamp,qkv,0.7594498217014773,0.7637306753458096,0.5944118542226595
0.6,clamp,qkv,0.7601630157921548,0.7610862489829129,0.5909647392382062
0.7,clamp,qkv,0.7571064696892511,0.765052888527258,0.5905496576612858
0.8,clamp,qkv,0.7595517065715741,0.7622050447518307,0.5928378442623911
0.9,clamp,qkv,0.7589403973509934,0.7607811228641171,0.5890109421327371
1.0,clamp,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
1.5,clamp,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
2.0,clamp,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
2.5,clamp,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
3.0,clamp,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
