x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.7593479368313806,0.7638323840520749,0.5875316679429153
0.1,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.7486500254712175,0.7454231082180635,0.614266065874589
0.2,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.6632705043301069,0.6526647681041498,0.7681218434477085
0.3,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.5425369332654101,0.5331570382424735,1.0178146343374874
0.4,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.3694345389709628,0.3682872253864931,1.4062777289738484
0.5,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.3560876209882832,0.3535394629780309,1.472734513907945
0.6,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.3590422822210902,0.35577705451586655,1.4113153759936168
0.7,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.36505348955680084,0.3566924328722539,1.2711276129519125
0.8,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.33968415690269993,0.33441822620016276,1.2063272214867782
0.9,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.34406520631686194,0.34692839707078926,1.1686442673982937
1.0,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.35700458481915437,0.3486574450772986,1.1475304902958947
1.5,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.35384615384615387,0.3515052888527258,1.115718002719289
2.0,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.3282730514518594,0.32851912123677784,1.101653156723184
2.5,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.319714722363729,0.31265256305939787,1.107944196132573
3.0,shift,"qkv,attn_score,attn_apply,output_proj,ffn1,ffn2",0.3261334691798268,0.3258746948738812,1.1022109257281798
