x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,qkv,0.7601630157921548,0.7637306753458096,0.5874914956743243
0.1,shift,qkv,0.7601630157921548,0.7589503661513426,0.5874888547468652
0.2,shift,qkv,0.7519103413143148,0.75793327908869,0.5954354525777339
0.3,shift,qkv,0.7392766174223128,0.7359641985353946,0.6219419136594871
0.4,shift,qkv,0.7026999490575649,0.6865337672904801,0.6847189397639094
0.5,shift,qkv,0.6222109016811004,0.6065907241659886,0.8164941273896624
0.6,shift,qkv,0.5127865511971472,0.5065093572009765,0.9974205516254475
0.7,shift,qkv,0.4072338257768721,0.3943246541903987,1.1950536799353186
0.8,shift,qkv,0.3582272032603158,0.35526851098454026,1.3538641152047957
0.9,shift,qkv,0.3544574630667346,0.35231895850284783,1.4425636936670794
1.0,shift,qkv,0.35455934793683136,0.3522172497965826,1.481465995408813
1.5,shift,qkv,0.3544574630667346,0.35231895850284783,1.4424505396852276
2.0,shift,qkv,0.3491594498217015,0.3423515052888527,1.372830718949874
2.5,shift,qkv,0.3434538970962812,0.33533360455655004,1.2654672118468082
3.0,shift,qkv,0.33744268976057057,0.3330960130187144,1.2403503020539735
