x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,attn_score,0.7600611309220581,0.7640358014646054,0.5874807482482167
0.1,shift,attn_score,0.7600611309220581,0.7639340927583401,0.5874898328600566
0.2,shift,attn_score,0.7600611309220581,0.7640358014646054,0.587442342519566
0.3,shift,attn_score,0.7600611309220581,0.7640358014646054,0.5874313065351415
0.4,shift,attn_score,0.7600611309220581,0.7639340927583401,0.5874275403758602
0.5,shift,attn_score,0.7600611309220581,0.7639340927583401,0.5874760064269122
0.6,shift,attn_score,0.7599592460519613,0.7639340927583401,0.5876098504041227
0.7,shift,attn_score,0.7600611309220581,0.7640358014646054,0.5875272026910455
0.8,shift,attn_score,0.7599592460519613,0.7640358014646054,0.5875825302657165
0.9,shift,attn_score,0.7600611309220581,0.7640358014646054,0.5875069272100731
1.0,shift,attn_score,0.7601630157921548,0.7639340927583401,0.5872651659656037
1.5,shift,attn_score,0.7600611309220581,0.7639340927583401,0.5874709976952317
2.0,shift,attn_score,0.7601630157921548,0.7640358014646054,0.5872369740364606
2.5,shift,attn_score,0.7602649006622516,0.7640358014646054,0.5873509984499857
3.0,shift,attn_score,0.7601630157921548,0.7640358014646054,0.5873170238510017
