x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,clamp,attn_apply,0.3273560876209883,0.3295362082994304,1.3781128355851002
0.1,clamp,attn_apply,0.5046357615894039,0.5081366965012205,1.0613056864917083
0.2,clamp,attn_apply,0.5110545084055018,0.5096623270951993,1.1570463212577062
0.3,clamp,attn_apply,0.5105450840550179,0.5101708706265257,1.2425449473073507
0.4,clamp,attn_apply,0.5258278145695364,0.5251220504475184,1.298099916998649
0.5,clamp,attn_apply,0.54793683138054,0.5506509357200976,1.2296024288144873
0.6,clamp,attn_apply,0.713397860417728,0.7032139951179821,0.6926450180162824
0.7,clamp,attn_apply,0.7168619460010188,0.7135882831570383,0.6821850035157576
0.8,clamp,attn_apply,0.7483443708609272,0.7463384865744508,0.6074180415913414
0.9,clamp,attn_apply,0.7538461538461538,0.753152969894223,0.601181955892799
1.0,clamp,attn_apply,0.7577177789098319,0.7541700569568756,0.5938507072287779
1.5,clamp,attn_apply,0.7606724401426388,0.7623067534580961,0.5897342761681212
2.0,clamp,attn_apply,0.7609780947529292,0.7623067534580961,0.5880016676644743
2.5,clamp,attn_apply,0.7600611309220581,0.7636289666395444,0.5877404992714379
3.0,clamp,attn_apply,0.7601630157921548,0.7637306753458096,0.5874914956743243
