x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,shift,ffn2,0.7593479368313806,0.7637306753458096,0.5875097095044117
0.1,shift,ffn2,0.7602649006622516,0.7634255492270138,0.58657554148754
0.2,shift,ffn2,0.7592460519612837,0.7637306753458096,0.5871374835942778
0.3,shift,ffn2,0.7600611309220581,0.7638323840520749,0.5868918498438034
0.4,shift,ffn2,0.7598573611818645,0.7639340927583401,0.5872335760620595
0.5,shift,ffn2,0.7596535914416709,0.7634255492270138,0.5872295043561668
0.6,shift,ffn2,0.7593479368313806,0.7637306753458096,0.5872266985937128
0.7,shift,ffn2,0.7594498217014773,0.7637306753458096,0.5871813703777348
0.8,shift,ffn2,0.7599592460519613,0.7633238405207485,0.5872375377323418
0.9,shift,ffn2,0.7597554763117677,0.7635272579332791,0.5870005261237924
1.0,shift,ffn2,0.7598573611818645,0.7636289666395444,0.5871067839501735
1.5,shift,ffn2,0.7594498217014773,0.7639340927583401,0.5871760981818752
2.0,shift,ffn2,0.7600611309220581,0.7633238405207485,0.5869681603162995
2.5,shift,ffn2,0.7598573611818645,0.7628152969894223,0.5869869016814698
3.0,shift,ffn2,0.7591441670911869,0.7641375101708706,0.5874060464458668
