x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,clamp,attn_score,0.3552725420275089,0.35323433685923517,1.3545726335786452
0.1,clamp,attn_score,0.35557819663779927,0.354353132628153,1.3714083346753634
0.2,clamp,attn_score,0.35731023942944473,0.354353132628153,1.3846999995094946
0.3,clamp,attn_score,0.3597554763117677,0.3603539462978031,1.372163831411045
0.4,clamp,attn_score,0.37371370351502803,0.37072823433685925,1.3028417247126078
0.5,clamp,attn_score,0.40376974019358125,0.3954434499593165,1.1819957911191623
0.6,clamp,attn_score,0.4322975038206826,0.4219894222945484,1.1083390624398906
0.7,clamp,attn_score,0.4507386653082017,0.44497558991049635,1.0820929758517672
0.8,clamp,attn_score,0.517269485481406,0.51586655817738,0.9924844204408726
0.9,clamp,attn_score,0.5299032093734081,0.5223759153783564,0.9827900341065776
1.0,clamp,attn_score,0.5427407030056036,0.532953620829943,0.9717916377398401
1.5,clamp,attn_score,0.6281202241467142,0.6316110659072417,0.8341740214960582
2.0,clamp,attn_score,0.7387671930718288,0.7389137510170871,0.636235881851628
2.5,clamp,attn_score,0.7557819663779929,0.7606794141578519,0.5964913589315617
3.0,clamp,attn_score,0.7603667855323485,0.7617982099267697,0.5871569213339094
