x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,clamp,ffn2,0.3548650025471218,0.35323433685923517,1.1715439681315656
0.1,clamp,ffn2,0.3594498217014773,0.35679414157851913,1.1622950365760816
0.2,clamp,ffn2,0.3888945491594498,0.38740846216436126,1.1137689466585166
0.3,clamp,ffn2,0.5110545084055018,0.5060008136696501,0.977439535654329
0.4,clamp,ffn2,0.6440142638818136,0.6423921887713588,0.8207342122781549
0.5,clamp,ffn2,0.7028018339276617,0.7131814483319772,0.7177061622034067
0.6,clamp,ffn2,0.7368313805399899,0.7384052074857608,0.6607018968375575
0.7,clamp,ffn2,0.7472236372898624,0.7486777868185517,0.6324423124910565
0.8,clamp,ffn2,0.751808456444218,0.7534580960130187,0.6203448354761064
0.9,clamp,ffn2,0.7509933774834437,0.7542717656631408,0.6117125930392004
1.0,clamp,ffn2,0.7536423841059603,0.7601708706265257,0.6047167462275549
1.5,clamp,ffn2,0.7580234335201222,0.758340113913751,0.594668041781222
2.0,clamp,ffn2,0.7616912888436067,0.7612896663954435,0.5897514243953003
2.5,clamp,ffn2,0.7614875191034132,0.76586655817738,0.593231095698835
3.0,clamp,ffn2,0.7576158940397351,0.7645443449959316,0.5903544222347511
