x,transform_mode,mac_types,acc,acc_mm,eval_loss
0.0,clamp,output_proj,0.3544574630667346,0.3522172497965826,1.230044396673041
0.1,clamp,output_proj,0.3544574630667346,0.3522172497965826,1.1938780622878369
0.2,clamp,output_proj,0.35700458481915437,0.354353132628153,1.1398118833377229
0.3,clamp,output_proj,0.3957208354559348,0.39422294548413345,1.061597887778515
0.4,clamp,output_proj,0.4836474783494651,0.4799633848657445,0.9664367228649339
0.5,clamp,output_proj,0.5818644931227712,0.572213181448332,0.8778490890606219
0.6,clamp,output_proj,0.6446255731023943,0.6413751017087063,0.8021900481043887
0.7,clamp,output_proj,0.6925114620478859,0.6869406021155411,0.7432316959098418
0.8,clamp,output_proj,0.7178807947019867,0.7149104963384866,0.6976123111449934
0.9,clamp,output_proj,0.7314314824248599,0.7320992676973149,0.6677983121685562
1.0,clamp,output_proj,0.744982170147733,0.7436940602115542,0.6433890646608722
1.5,clamp,output_proj,0.7560876209882832,0.7641375101708706,0.5987559644814812
2.0,clamp,output_proj,0.7576158940397351,0.7601708706265257,0.5916930966880112
2.5,clamp,output_proj,0.7590422822210902,0.7633238405207485,0.5918012232267895
3.0,clamp,output_proj,0.7599592460519613,0.7606794141578519,0.5895912096583882
