mac_type,layer_idx,value,count
attn_score,3,18,916398
attn_score,3,20,819365
attn_score,3,22,709254
attn_score,3,24,598533
attn_score,3,26,489945
attn_score,3,28,391220
attn_score,3,30,306100
attn_score,3,32,234768
attn_score,3,34,177373
attn_score,3,36,133990
attn_score,3,38,100222
attn_score,3,40,75626
attn_score,3,42,55966
attn_score,3,44,40905
attn_score,3,46,29251
attn_score,3,48,20185
attn_score,3,50,13497
attn_score,3,52,8941
attn_score,3,54,5748
attn_score,3,56,3976
attn_score,3,58,2846
attn_score,3,60,2608
attn_score,3,62,1773
attn_score,3,64,711
attn_score,4,-54,2
attn_score,4,-52,7
attn_score,4,-50,21
attn_score,4,-48,72
attn_score,4,-46,227
attn_score,4,-44,631
attn_score,4,-42,1538
attn_score,4,-40,3558
attn_score,4,-38,7503
attn_score,4,-36,15105
attn_score,4,-34,27767
attn_score,4,-32,48149
attn_score,4,-30,78813
attn_score,4,-28,123548
attn_score,4,-26,184040
attn_score,4,-24,262491
attn_score,4,-22,357614
attn_score,4,-20,471100
attn_score,4,-18,596965
attn_score,4,-16,733702
attn_score,4,-14,879434
attn_score,4,-12,1019236
attn_score,4,-10,1148250
attn_score,4,-8,1257611
attn_score,4,-6,1341894
attn_score,4,-4,1395677
attn_score,4,-2,1414336
attn_score,4,0,1401523
attn_score,4,2,1360987
attn_score,4,4,1294759
attn_score,4,6,1214945
attn_score,4,8,1122281
attn_score,4,10,1023042
attn_score,4,12,924911
attn_score,4,14,827646
attn_score,4,16,735839
attn_score,4,18,643968
attn_score,4,20,561316
attn_score,4,22,480198
attn_score,4,24,407370
attn_score,4,26,340026
attn_score,4,28,280623
attn_score,4,30,231818
attn_score,4,32,191947
attn_score,4,34,159139
attn_score,4,36,132938
attn_score,4,38,111304
attn_score,4,40,92763
attn_score,4,42,73956
attn_score,4,44,57972
attn_score,4,46,43812
attn_score,4,48,31360
attn_score,4,50,21097
attn_score,4,52,13596
attn_score,4,54,7985
attn_score,4,56,4368
attn_score,4,58,2081
attn_score,4,60,755
attn_score,4,62,188
attn_score,4,64,20
attn_score,5,-54,1
attn_score,5,-50,11
attn_score,5,-48,42
attn_score,5,-46,136
attn_score,5,-44,443
attn_score,5,-42,1156
attn_score,5,-40,2832
attn_score,5,-38,6384
attn_score,5,-36,12982
attn_score,5,-34,25359
attn_score,5,-32,45972
attn_score,5,-30,78115
attn_score,5,-28,125828
attn_score,5,-26,190794
attn_score,5,-24,279278
attn_score,5,-22,388604
attn_score,5,-20,517199
attn_score,5,-18,660014
attn_score,5,-16,811309
attn_score,5,-14,960035
attn_score,5,-12,1101428
attn_score,5,-10,1220929
attn_score,5,-8,1318794
attn_score,5,-6,1386984
attn_score,5,-4,1423618
attn_score,5,-2,1432192
attn_score,5,0,1411363
attn_score,5,2,1366019
attn_score,5,4,1299333
attn_score,5,6,1213895
attn_score,5,8,1111129
attn_score,5,10,1000689
attn_score,5,12,889040
attn_score,5,14,776408
attn_score,5,16,670441
attn_score,5,18,573349
attn_score,5,20,487674
attn_score,5,22,413625
attn_score,5,24,351839
attn_score,5,26,301265
attn_score,5,28,257502
attn_score,5,30,220547
attn_score,5,32,188809
attn_score,5,34,159358
attn_score,5,36,132627
attn_score,5,38,106819
attn_score,5,40,82733
attn_score,5,42,60812
attn_score,5,44,42399
attn_score,5,46,26968
attn_score,5,48,15961
attn_score,5,50,8470
attn_score,5,52,3956
attn_score,5,54,1577
attn_score,5,56,597
attn_score,5,58,148
attn_score,5,60,30
attn_score,5,62,3
attn_score,6,-56,2
attn_score,6,-54,5
attn_score,6,-52,16
attn_score,6,-50,38
attn_score,6,-48,143
attn_score,6,-46,384
attn_score,6,-44,931
attn_score,6,-42,2334
attn_score,6,-40,5034
attn_score,6,-38,10709
attn_score,6,-36,20512
attn_score,6,-34,36756
attn_score,6,-32,64005
attn_score,6,-30,104663
attn_score,6,-28,161889
attn_score,6,-26,238754
attn_score,6,-24,337041
attn_score,6,-22,456374
attn_score,6,-20,596327
attn_score,6,-18,749911
attn_score,6,-16,911740
attn_score,6,-14,1070620
attn_score,6,-12,1218047
attn_score,6,-10,1343395
attn_score,6,-8,1440549
attn_score,6,-6,1501694
attn_score,6,-4,1524486
attn_score,6,-2,1503544
attn_score,6,0,1450375
attn_score,6,2,1364114
attn_score,6,4,1254994
attn_score,6,6,1131140
attn_score,6,8,999663
attn_score,6,10,871500
attn_score,6,12,744422
attn_score,6,14,633572
attn_score,6,16,537635
attn_score,6,18,454599
attn_score,6,20,387558
attn_score,6,22,330535
attn_score,6,24,284469
attn_score,6,26,246832
attn_score,6,28,215223
attn_score,6,30,186042
attn_score,6,32,161513
attn_score,6,34,138265
attn_score,6,36,117130
attn_score,6,38,97305
attn_score,6,40,78037
attn_score,6,42,60571
attn_score,6,44,45086
attn_score,6,46,31015
attn_score,6,48,20499
attn_score,6,50,12192
attn_score,6,52,6584
attn_score,6,54,3133
attn_score,6,56,1323
attn_score,6,58,464
attn_score,6,60,106
attn_score,6,62,22
attn_score,6,64,3
attn_score,7,-52,3
attn_score,7,-50,15
attn_score,7,-48,59
attn_score,7,-46,179
attn_score,7,-44,514
attn_score,7,-42,1446
attn_score,7,-40,3539
attn_score,7,-38,7961
attn_score,7,-36,16769
attn_score,7,-34,32534
attn_score,7,-32,59557
attn_score,7,-30,102546
attn_score,7,-28,166069
attn_score,7,-26,254204
attn_score,7,-24,370358
attn_score,7,-22,513844
attn_score,7,-20,678628
attn_score,7,-18,858867
attn_score,7,-16,1041062
attn_score,7,-14,1213791
attn_score,7,-12,1358530
attn_score,7,-10,1470187
attn_score,7,-8,1534495
attn_score,7,-6,1555930
attn_score,7,-4,1531573
attn_score,7,-2,1467007
attn_score,7,0,1373102
attn_score,7,2,1261537
attn_score,7,4,1134088
attn_score,7,6,1008646
attn_score,7,8,890393
attn_score,7,10,781696
attn_score,7,12,683912
attn_score,7,14,599097
attn_score,7,16,524347
attn_score,7,18,462204
attn_score,7,20,403450
attn_score,7,22,351919
attn_score,7,24,305967
attn_score,7,26,260963
attn_score,7,28,218778
attn_score,7,30,179810
attn_score,7,32,143902
attn_score,7,34,110614
attn_score,7,36,81627
attn_score,7,38,57781
attn_score,7,40,38317
attn_score,7,42,23999
attn_score,7,44,14099
attn_score,7,46,7756
attn_score,7,48,3997
attn_score,7,50,2053
attn_score,7,52,1029
attn_score,7,54,547
attn_score,7,56,297
attn_score,7,58,144
attn_score,7,60,59
attn_score,7,62,25
attn_score,7,64,2
attn_score,8,-56,2
attn_score,8,-54,13
attn_score,8,-52,28
attn_score,8,-50,112
